Wuthering Heights,1847,Emily Brontë (1818-1848)
The Tenant of Wildfell Hall,1848,Ann Brontë (1820-1849)
Thief of Time,1996,Terry Pratchett (1948-2015)
Hard-Boiled Wonderland and the End of the World,1985,Haruki Murakami (1949-)
Villette,1853,Charlotte Brontë (1816-1855)
Elmer Gantry,1927,Sinclair Lewis (1885-)
Neverwhere,1996,Neil Gaiman (1960-)
"Right Ho, Jeeves",1934,Pelham Grenville Wodehouse (1881-1975)
Good Omens,1990,Neil Gaiman (1960-) and Terry Pratchett (1948-2015)
One Hundred Years of Solitude,1967,Gabriel García Márquez (1927-2014)
